Episode,Time,Blocks placed,Final Score,,Promedio
606,1.268029213,21,1282,,
607,1.400033712,21,1212,,
608,1.460998058,21,1166,,
609,1.349994898,21,1018,,
610,1.139992476,21,1324,,
611,1.441524744,21,1386,,
612,1.52104497,21,1184,,
613,1.222995043,21,1288,,
614,1.290999651,21,1306,,
615,1.385993719,21,1418,,
616,1.264023542,21,1248,,
617,1.483521461,21,1180,,
618,1.538534641,18,854,,
619,1.579310417,21,1160,,
620,1.27554369,21,1204,,
621,1.358175039,21,1128,,
622,1.527007341,21,1184,,
623,1.218646526,21,1174,,
624,1.323998928,21,1170,,
625,1.276525736,21,1146,,
626,1.261000156,21,1328,,
627,1.25105834,21,1340,,
628,1.231005907,21,1450,,
629,1.371288061,21,1334,,
630,0.945991516,21,1412,,
631,1.116003036,21,1270,,
632,1.313996077,21,1266,,
633,1.147000313,21,1066,,
634,1.337000608,21,1138,,
635,1.221991301,21,1204,,
636,1.189580441,21,1362,,
637,1.256998777,21,1286,,
638,1.239499331,21,1264,,
639,1.220805407,21,1472,,
640,1.279000759,21,1478,,
641,1.268999577,21,1230,,
642,1.428010941,21,1308,,
643,1.431993484,21,1178,,
644,0.968998194,21,1562,,
645,1.282892227,21,1322,,
646,1.513006449,21,1202,,
647,1.312000513,21,1202,,
648,1.213525295,21,1320,,
649,1.210003853,21,1374,,
650,1.285999537,21,1136,,
651,1.357529879,21,1274,,
652,1.351530075,21,1188,,
653,1.09757638,21,1254,,
654,1.036998749,21,1518,,
655,1.170986891,21,1528,,
656,1.429998398,19,926,,
657,1.386997223,21,1054,,
658,1.437003851,21,1116,,
659,1.54651165,21,1012,,
660,1.541004896,21,1258,,
661,1.643528223,21,1214,,
662,1.371997595,21,1004,,
663,1.32199955,21,1390,,
664,1.198938608,21,1276,,
665,1.274470806,21,1336,,
666,1.396994829,21,1298,,
667,1.209996223,21,1306,,
668,1.230000734,21,1168,,
669,1.134003162,21,1178,,
670,1.168995142,21,1248,,
671,1.157998562,21,1216,,
672,1.298091173,21,1294,,
673,1.54301548,21,1312,,
674,1.11309576,21,1338,,
675,1.141035557,21,1340,,
676,1.143040657,21,1286,,
677,1.461056232,21,1148,,
678,1.339086771,21,1270,,
679,1.319000483,21,1162,,
680,1.216005564,21,1008,,
681,1.08400178,21,1242,,
682,1.320000887,21,1448,,
683,1.361521959,21,1148,,
