Episode,Time,Blocks placed,Final Score
453,1.6160001754760742,21,1256
454,1.1639995574951172,21,1268
455,1.2669968605041504,21,1166
456,1.3310120105743408,21,1130
457,1.366363286972046,21,1094
458,1.3705570697784424,21,1394
459,1.3980119228363037,21,1102
460,1.3009953498840332,21,1344
461,1.1539900302886963,21,1388
462,1.5210003852844238,21,1148
463,1.4930002689361572,21,1156
464,1.4300024509429932,21,1430
465,1.2170042991638184,21,1348
466,1.455186367034912,21,1096
467,1.4320125579833984,21,1216
468,1.6250300407409668,21,1242
469,1.1500000953674316,21,1468
470,1.1795072555541992,21,1422
471,1.5260040760040283,21,1228
472,1.2625203132629395,21,1384
473,1.2599992752075195,21,1164
474,1.2037067413330078,21,1300
475,1.1849944591522217,21,1168
476,1.4099996089935303,21,1212
477,1.319000482559204,21,1324
478,1.398000955581665,21,1422
479,1.2659919261932373,21,1254
480,1.455000877380371,21,1116
481,1.4749937057495117,21,1044
482,1.2710230350494385,21,1400
483,1.2400009632110596,21,1186
484,1.3872926235198975,21,1068
485,1.229344129562378,21,1414
486,1.4625284671783447,21,1194
487,1.307995080947876,21,1226
488,1.2670066356658936,21,1356
489,1.5220599174499512,21,1064
490,1.185070276260376,21,1434
491,1.1829941272735596,21,1510
492,1.3315167427062988,21,1182
493,1.373997449874878,21,1228
494,1.1339967250823975,21,1356
495,1.358518123626709,21,1284
496,1.3230056762695312,21,1252
497,1.3190028667449951,21,1382
498,1.2879929542541504,21,1318
499,1.2789742946624756,21,1226
500,1.3079991340637207,21,1206
501,1.4189996719360352,21,1094
502,1.2855331897735596,21,1236
503,1.2309942245483398,21,1324
504,1.4879989624023438,21,1164
505,1.4980170726776123,21,1068
506,1.4689991474151611,21,1186
507,1.4010136127471924,21,1324
508,1.2229969501495361,21,1402
509,1.2899963855743408,21,1292
510,1.4059984683990479,21,1316
511,1.4229953289031982,21,1176
512,1.1200010776519775,21,1354
513,1.19999361038208,21,1368
514,1.4645211696624756,21,1016
515,1.3920023441314697,21,984
516,1.0629980564117432,21,1448
517,1.2529993057250977,21,1408
518,1.540992259979248,21,1188
519,1.3480067253112793,21,1050
520,1.2549984455108643,21,1208
521,1.337064266204834,21,1214
522,1.2749989032745361,21,1034
523,1.411078929901123,21,1150
524,1.3920013904571533,21,1394
525,1.1779983043670654,21,1176
526,1.4239985942840576,21,1170
527,1.4060006141662598,21,1246
528,1.1814112663269043,21,1274
529,1.1675381660461426,21,1310
530,1.1545534133911133,21,1320
531,1.082993984222412,21,1284
532,1.2729952335357666,21,1114
533,1.1969952583312988,21,1224
534,1.533034324645996,21,1164
535,1.041001319885254,21,1464
536,1.5450003147125244,21,1020
537,1.5470008850097656,21,1192
538,1.5699975490570068,21,1052
539,1.109527826309204,21,1418
540,1.6429994106292725,21,948
541,1.3455231189727783,21,1224
542,1.1890017986297607,21,1340
543,1.4630026817321777,21,1082
544,1.2880003452301025,21,1342
545,1.417046070098877,21,1152
546,1.334000825881958,21,1126
547,1.3380012512207031,21,1342
548,1.3825218677520752,20,1196
549,1.051513433456421,21,1480
550,1.2420032024383545,21,1354
551,1.378514051437378,21,1234
552,1.278001308441162,21,1476
553,1.3920056819915771,21,1138
554,1.322122573852539,21,1178
555,1.489506483078003,21,1096
556,1.1749966144561768,21,1278
557,1.173004388809204,21,1372
558,1.1169941425323486,21,1312
559,1.239001989364624,21,1258
560,1.5787088871002197,19,894
561,1.238617181777954,21,1248
562,1.1009995937347412,21,1384
563,1.4120118618011475,21,1108
564,1.203000783920288,21,1344
565,1.409998893737793,21,1144
566,1.568000316619873,21,1264
567,1.100994348526001,21,1352
568,1.3709936141967773,21,1100
569,1.3785722255706787,21,1192
570,1.3620412349700928,21,1206
571,1.1855196952819824,21,1400
572,1.371000051498413,21,1016
573,1.2995166778564453,21,1302
574,1.581512451171875,21,1328
575,1.3060312271118164,21,1218
576,1.3950376510620117,21,1172
577,1.327005386352539,21,1422
578,1.252002239227295,21,1196
579,1.3959999084472656,21,1062
580,1.467005729675293,21,1110
581,1.1535193920135498,21,1362
582,1.5260009765625,21,1106
583,1.5709993839263916,21,1214
584,1.4395225048065186,21,1474
585,1.5229978561401367,21,1046
586,1.450998306274414,20,934
587,1.320997953414917,21,1366
588,1.6670005321502686,20,892
589,1.337996482849121,21,1234
590,1.438478946685791,21,1382
591,1.3255250453948975,21,1240
592,1.525397539138794,21,1072
593,1.1440093517303467,21,1288
594,1.1210722923278809,21,1340
595,1.5989999771118164,21,1026
596,1.50600004196167,21,1164
597,1.0649924278259277,21,1192
598,1.1889960765838623,21,1320
599,1.2890009880065918,20,1074
600,1.3569986820220947,21,962
601,1.3980004787445068,21,1162
602,1.2919986248016357,21,1300
603,1.4709994792938232,21,1202
604,1.3839974403381348,21,1236
605,1.401179313659668,21,1040
606,1.2680292129516602,21,1282
607,1.400033712387085,21,1212
608,1.4609980583190918,21,1166
609,1.3499948978424072,21,1018
610,1.1399924755096436,21,1324
